islem_tarihi,aciklama,tutar,bakiye,hesap_no,banka_adi
16/07/2025,gyden_fast_-_alanya_ozkan_kirtasyye_mat.yay.ynþ.tyc.ltd.þty_-_halkbank_hesabina_vyrman,-25000.0,633238.38,102.01,ykb
16/07/2025,1801374784x160725150725uye_yþyery_ucrety_-_peþyn_(bsmv),-13.71,658238.38,102.01,ykb
16/07/2025,1801374784x160725150725uye_yþyery_ucrety_-_peþyn,-274.14,658252.09,102.01,ykb
16/07/2025,1801374784x160725150725peþynsatiþ,14505.75,658526.23,102.01,ykb
16/07/2025,1801374784x160725050625peþynsatiþ,11065.1,644020.48,102.01,ykb
16/07/2025,1801374784x160725190525uye_yþyery_ucrety_-_taksyt_(bsmv),-1.57,632955.38,102.01,ykb
16/07/2025,1801374784x160725190525uye_yþyery_ucrety_-_taksyt,-31.34,632956.95,102.01,ykb
16/07/2025,1801374784x160725190525taksytsatiþ,2726.28,632988.29,102.01,ykb
16/07/2025,1801374784x160725140625peþynsatiþkatkipayi,-9.18,630262.01,102.01,ykb
16/07/2025,1801374784x160725140625peþynsatiþ,1834.9,630271.19,102.01,ykb
15/07/2025,1801374784x150725140725uye_yþyery_ucrety_-_peþyn_(bsmv),-26.75,628436.29,102.01,ykb
15/07/2025,1801374784x150725140725uye_yþyery_ucrety_-_peþyn,-534.82,628463.04,102.01,ykb
15/07/2025,1801374784x150725140725peþynsatiþ,28298.45,628997.86,102.01,ykb
15/07/2025,1801374784x150725040625peþynsatiþ,17163.35,600699.41,102.01,ykb
15/07/2025,1801374784x150725130625peþynsatiþkatkipayi,-27.49,583536.06,102.01,ykb
15/07/2025,1801374784x150725130625peþynsatiþ,5496.35,583563.55,102.01,ykb
15/07/2025,1801374784x150725180425uye_yþyery_ucrety_-_taksyt_(bsmv),-0.92,578067.2,102.01,ykb
15/07/2025,1801374784x150725180425uye_yþyery_ucrety_-_taksyt,-18.47,578068.12,102.01,ykb
15/07/2025,1801374784x150725180425taksytsatiþ,1606.78,578086.59,102.01,ykb
15/07/2025,1801374784x150725170625uye_yþyery_ucrety_-_taksyt_(bsmv),-0.2,576479.81,102.01,ykb
15/07/2025,1801374784x150725170625uye_yþyery_ucrety_-_taksyt,-4.02,576480.01,102.01,ykb
15/07/2025,1801374784x150725170625taksytlysatiþkatkipayi,-7.0,576484.03,102.01,ykb
15/07/2025,1801374784x150725170625taksytsatiþ,350.23,576491.03,102.01,ykb
14/07/2025,1801374784x140725130725uye_yþyery_ucrety_-_peþyn_(bsmv),-27.01,576140.8,102.01,ykb
14/07/2025,1801374784x140725130725uye_yþyery_ucrety_-_peþyn,-540.18,576167.81,102.01,ykb
14/07/2025,1801374784x140725130725peþynsatiþ,28582.2,576707.99,102.01,ykb
14/07/2025,1801374784x140725030625peþynsatiþ,20040.75,548125.79,102.01,ykb
14/07/2025,1801374784x140725120625peþynsatiþkatkipayi,-56.39,528085.04,102.01,ykb
14/07/2025,1801374784x140725120625peþynsatiþ,11274.34,528141.43,102.01,ykb
14/07/2025,1801374784x140725170525uye_yþyery_ucrety_-_taksyt_(bsmv),-0.29,516867.09,102.01,ykb
14/07/2025,1801374784x140725170525uye_yþyery_ucrety_-_taksyt,-5.75,516867.38,102.01,ykb
14/07/2025,1801374784x140725170525taksytsatiþ,500.22,516873.13,102.01,ykb
13/07/2025,1801374784x130725120725uye_yþyery_ucrety_-_peþyn_(bsmv),-20.66,516372.91,102.01,ykb
13/07/2025,1801374784x130725120725uye_yþyery_ucrety_-_peþyn,-413.21,516393.57,102.01,ykb
13/07/2025,1801374784x130725120725peþynsatiþ,21864.15,516806.78,102.01,ykb
13/07/2025,1801374784x130725020625peþynsatiþ,7125.15,494942.63,102.01,ykb
13/07/2025,1801374784x130725110625peþynsatiþkatkipayi,-6.0,487817.48,102.01,ykb
13/07/2025,1801374784x130725110625peþynsatiþ,1200.45,487823.48,102.01,ykb
13/07/2025,1801374784x130725150625uye_yþyery_ucrety_-_taksyt_(bsmv),-0.38,486623.03,102.01,ykb
13/07/2025,1801374784x130725150625uye_yþyery_ucrety_-_taksyt,-7.53,486623.41,102.01,ykb
13/07/2025,1801374784x130725150625taksytlysatiþkatkipayi,-13.1,486630.94,102.01,ykb
13/07/2025,1801374784x130725150625taksytsatiþ,655.2,486644.04,102.01,ykb
12/07/2025,1801374784x120725010625peþynsatiþ,14945.62,485988.84,102.01,ykb
12/07/2025,1801374784x120725110725uye_yþyery_ucrety_-_peþyn_(bsmv),-4.02,471043.22,102.01,ykb
12/07/2025,1801374784x120725110725uye_yþyery_ucrety_-_peþyn,-80.3,471047.24,102.01,ykb
12/07/2025,1801374784x120725110725peþynsatiþ,4249.0,471127.54,102.01,ykb
